,title,order,body,A,B,C,D,E,resposta,resolucao
0,"Questão 01 de Linguagens, Códigos e suas Tecnologias da prova ENEM/2022: (ENEM 2022)A Teen's View of Soc",1,"<div class=""dangerous-html""><p style=""text-align:left"">(ENEM 2022)<br></p><p style=""text-align:center"">A Teen's View of Social Media</p><p>Instagram is made up of all photos and videos. There is the home page that showcases the posts from people you follow, an explore tab which offers posts from accounts all over the world, and your own page, with a notification tab to show who likes and comments on your posts.</p><p>It has some downsides though. It is known to make many people feel insecure or down about themselves because the platform showcases the highlights of everyone's lives, while rarely showing the negatives. This can make one feel like their life is not going as well as others, contributing to the growing rates of anxiety or depression in many teens today. There is an underlying desire for acceptance through the number of likes or followers one has.</p><p style=""text-align:right""><span>Disponivel em: https://cyberbullying.org. Acesso em: 29 out. 2021.&nbsp;</span></p><div><span><p><span>O termo ""downsides"" introduz a ideia de que o Instagram é responsável por</span></p><div><span></span></div></span></div></div>","<div class=""exercise-answer__content dangerous-html""><p>oferecer recursos de fotografia.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>divulgar problemas dos usuários.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>estimular aceitação dos seguidores.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>provocar ansiedade nos adolescentes.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>aproximar pessoas ao redor do mundo.</p><div><br></div></div>",D,"A questão avalia a habilidade do candidato de compreender, mediante a análise do contexto, o sentido de uma palavra da língua inglesa e associá-la à temática do texto. O vocábulo ""downsides"" (desvantagens) introduz uma discussão em relação ao lado negativo do Instagram, visto que são apontados alguns problemas enfrentados pelos usuários, tais como insegurança, ansiedade e depressão.

"
1,"Questão 02 de Linguagens, Códigos e suas Tecnologias da prova ENEM/2022: (ENEM 2022)I tend the mobile no",2,"<div class=""dangerous-html""><p>(ENEM 2022)<br></p><p>I tend the mobile now like an injured bird</p><p>We text, text, text</p><p>our significant words.</p><p>I re-read your first, your second, your third,</p><p>Look for your small xx,</p><p>feeling absurd.</p><p>The codes we send arrive with a broken chord.</p><p>I try to picture your hands, their image is blurred.</p><p>Nothing my thumbs press will ever be heard.</p><div><div style=""text-align:right""><span>DUFFY, C, Disponivel em: www.Independent.co.uk Acesso em: 27 out, 2021.</span></div></div><div><br></div><div>Nesse poema, o eu lírico evidencia um sentimento de<br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>&nbsp;contentamento com a interação virtual.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>&nbsp;zelo com o envio de mensagens.&nbsp;</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>preocupação com a composição de textos.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>&nbsp;mágoa com o comportamento de alguém.&nbsp;</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>&nbsp;insatisfação com uma forma de comunicação.</p><div><br></div></div>",E,"A questão avalia a habilidade do aluno de usar seus conhecimentos linguísticos para compreender um produto cultural específico, no caso, um poema. Em ""Text"", escrito por Carol Ann Duffy, o eu lírico revela as limitações do tipo de comunicação abordado pelo poema. Embora a tecnologia permita que as pessoas que se amam possam se comunicar quando não estão juntas, a autora argumenta que nunca será possível preencher verdadeiramente a lacuna gerada pela ausência. 
"
2,"Questão 03 de Linguagens, Códigos e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Two hundred years ag",3,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Two hundred years ago, Jane Austen lived in a world where single men boasted vast estates; single ladies were expected to speak several languages, sing and play the piano. In both cases, it was, of course, advantageous if you looked good too. So, how much has or hasn't -changed? Dating apps opaquely outline the demands of today's relationship market; users ruminate long and hard over their choice of pictures and what they write in their biographies to hook in potential lovers, and that's just your own profile. What do you look for in a future partner's profile - potential signifiers of a popular personality, a of good job, a nice car? These apps are a poignant reminder of the often classist attitudes we still adopt, as well as the financial and aesthetic expectations we demand from potential partners.</p><p style=""text-align:justify""><br></p><p style=""text-align:right""><span>GALER, S. Disponivel em: www.bbc.com. Acesso em: 8 dez 2017 (adaptado)</span></p><p>&nbsp;O texto aborda relações interpessoais com o objetivo de<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>problematizar o papel de gênero em casamentos modernos.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>apontar a relevância da educação formal na escolha de parceiros.&nbsp;</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>&nbsp;comparar a expectativa de parceiros amorosos em épocas distintas.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>discutir o uso de aplicativos para proporcionar encontros românticos.&nbsp;<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>valorizar a importância da aparência física na seleção de pretendentes.</p><p><br></p></div>",C,"A questão avalia a habilidade do aluno de identificar a função de um texto, ou seja, determinar a intenção do autor ao produzir aquele texto. O texto em questão compara as expectativas de parceiros amorosos em dois momentos históricos distintos, revelando que, embora exista uma diferença temporal de 200 anos, ainda existem expectativas financeiras e estéticas que são demandadas de potenciais parceiros.
"
3,"Questão 04 de Linguagens, Códigos e suas Tecnologias da prova ENEM/2022: (ENEM 2022)As my official bio r",4,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p>As my official bio reads, I was made in Cuba, assembled in Spain, and imported to the United States — meaning my mother, seven months pregnant, and the rest of my family arrived as exiles from Cuba to Madrid, where I was born. Less than two months later, we emigrated once more and settled in New York City, then eventually in Miami, where I was raised and educated. Although technically we lived in the United States, the Cuban community was culturally insular in Miami during the 1970s, bonded together by the trauma of exile. What’s more, it seemed that practically everyone was Cuban: my teachers, my classmates, the mechanic, the bus driver. I didn’t grow up feeling different or treated as a minority. The few kids who got picked on in my grade school were the ones with freckles and funny last names like Dawson and O’Neil. </p><p style=""text-align:right""><span>BLANCO, R. Disponível em: http://edition.cnn.com.&nbsp; Acesso em: 9 dez. 2017 (adaptado).</span></p><p style=""text-align:left"">Ao relatar suas vivências, o autor destaca o(a)<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>qualidade da educação formal em Miami.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>prestígio da cultura cubana nos Estados Unidos.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>oportunidade de qualificação profissional em Miami.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>cenário da integração de cubanos nos Estados Unidos.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>fortalecimento do elo familiar em comunidades estadunidenses.<br></p></div>",D,"A questão avalia a habilidade do aluno de ampliar o seu conhecimento de mundo a respeito da integração de cubanos nos Estados Unidos. O autor afirma que, embora tecnicamente estivesse nos Estados Unidos, ele não cresceu se sentindo diferente ou sendo tratado como minoria.
"
4,"Questão 05 de Linguagens, Códigos e suas Tecnologias da prova ENEM/2022: (ENEM 2022)",5,"<div><p>(ENEM 2022)<br></p><p><img data-filename=""58473"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0xMyAyMzozMToyNCArMDAwMDE3MTQ4NQ==.png""></p><div><div>&nbsp;Nessa tirinha, o comportamento da mulher expressa</div><div><br></div></div></div>","<div class=""exercise-answer__content dangerous-html""><p>&nbsp;revolta com a falta de sorte.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>gosto pela prática da leitura.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>receio pelo futuro do casamento.</p><p><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>entusiasmo com os livros de terror.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>rejeição ao novo tipo de residência.</p><div><br></div></div>",B,"A questão avalia a habilidade do aluno de usar seus conhecimentos linguísticos para compreender um produto cultural específico, no caso, uma tirinha. As falas da mulher em resposta ao discurso ameaçador de seu noivo revelam um gosto indiscutível pela prática da leitura.
"
5,"ENEM2022ESP01: (ENEM 202 2)Pequeño hermanoEs,",6,"<div class=""dangerous-html""><p><span><span>(ENEM 202 2)</span></span><br></p><p>Pequeño hermano</p><p style=""text-align:justify"">Es, no cabe duda, el instrumento más presente y más poderoso de todos los que entraron en nuestras vidas Ni la televisión ni el ordenador, no hablemos ya del obsoleto fax o de las agendas o los libros electrónicos, ha tenido tal influencia, tal predicamento sobre nosotros. El móvil somos nosotros mismos. Todo desactivado e inerte, inocuo, ya les digo. Y de repente, tras un viaje y tres o cuatro imprudentes fotos, salta un aviso en la pantalla. Con sonido, además, pese a que tengo también todas las alertas desactivadas. Y mi monstruo doméstico me dice: tienes un recuerdo nuevo. Lo repetiré: tienes un recuerdo nuevo. ¿Y tú qué sabes? ¿Y a ti, máquina demoníaca, qué le importa? ¿Cómo te atreves a decirme qué son o no son mis recuerdos? ¿Qué es esta intromisión, este descaro? El pequeño hermano lo sabe casi todo. Sólo hay una esperanza: que la obsolescencia programada mate antes al pequeño hermano y que nosotros sigamos vivos, con los recuerdos que nos dé la gana.</p><p style=""text-align:right""><span>FERNANDEZ D. Disponível em: </span><span>www.lavanguardia.com.</span><span>Acesso em: 5 dez 2018 (adaptado)</span></p><p>No texto, o autor faz uma crítica ao(à)</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>conhecimento das pessoas sobre as tecnologias.&nbsp;</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>uso do celular alheio por pessoas desautorizadas.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>funcionamento de recursos tecnológicos obsoletos.&nbsp;<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>ingerência do celular sobre as escolhas dos usuários.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>falta de informação sobre a configuração de alertas no celular.</p><div><br></div></div>",D,"
Para esta questão, o candidato precisa entender do quanto o autor se queixa de como o celular interfere na vida das pessoas. Com a leitura das linhas de 10 a 14: ""Lo repetiré: tienes un recuerdo nuevo. ¿Y tú qué sabes?¿Y a ti, máquina demoníaca, qué te importa? ¿Cómo te atreves a decirme qué son o no son mis recuerdos? ¿Qué es esta intromisión, este descaro? El pequeño hermano lo sabe casi todo."", pode-se constatar que a resposta está presente na alternativa D."
6,ENEM2022ESP02: (ENEM 202 2)En los suburbios de,7,"<div class=""dangerous-html""><p><span><span>(ENEM 202 2)</span></span><br></p><p>En los suburbios de La Habana, llaman al amigo mi tierra o mi sangre. En Caracas, el amigo es mi pana o mi llave: pana, por panaderia, la fuente del buen pan para las hambres del alma; y llave por...-Llave, por llave-me dice Mario Benedetti. Y me cuenta que cuando vivia en Buenos Aires, en los tiempos del terror, él llevaba cinco llaves ajenas en su llavero: cinco llaves, de cinco casas, de cinco amigos: las llaves que lo salvaron.</p><p style=""text-align:right""><span>GALEANO, E Ebro de los abrazos. Mad Siglo Veintiuno, 2015.</span></p><p>Nesse texto, o autor demonstra como as diferentes expressões existentes em espanhol para se referir a ""amigo"" variam em função</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>das peculiaridades dos subúrbios hispano-americanos.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>da força da conexão espiritual entre os amigos.&nbsp;</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>do papel da amizade em diferentes contextos.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>do hábito de reunir amigos em torno da mesa.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>dos graus de intimidade entre os amigos.<br></p></div>",C,"
A questão trabalha com o aspecto de polissemia da palavra ""amigo"" presente em diferentes contextos em Havana, Caracas e Buenos Aires. A linha 6: ""en los tiempos del terro"" é usada para demonstrar a circunstância de uso para cada região."
7,ENEM2022ESP03: (ENEM 2022)Esse cartaz tem a fu,8,"<div><p><span>(ENEM 2022)</span></p><p style=""text-align:center""><img data-filename=""58475"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0xMyAyMzozODo1NCArMDAwMDY4NTAwMg==.png""></p><p style=""text-align:center""><br></p><p style=""text-align:left"">Esse cartaz tem a função social de</p><div style=""text-align:center""><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>difundir a arte iconográfica indígena mexicana.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>resgatar a literatura popular produzida em língua zapoteca.&nbsp;</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>questionar o conhecimento do povo mexicano sobre as linguas amerindias.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>destacar o papel dos órgãos governamentais na conservação das línguas no México.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>defender a preservação das línguas originárias garantindo a diversidade linguística mexicana.<br></p></div>",E,"
O uso da linguagem verbal no cartaz faz com que o candidato perceba que a função social desse gênero textual é a preservação das línguas originárias, assegurando a diversidade linguística mexicana. ""Las lenguas originarias de nuestra nación guardan gran parte de la riqueza cultural. Son parte viva de nuestro país. Si se hablan, son reconocidas y todos las respetamos. protegemos nuestro patrimonio nacional"""
8,"ENEM2022ESP04: (ENEM 2022)No texto, as palavra",9,"<div><p>(ENEM 2022)<br></p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0xMyAyMzozNDoxMSArMDAwMDY5ODUxMg==.png"" data-filename=""58474""></p><p>No texto, as palavras ""crianza"" e ""tribu"" são usadas para&nbsp;</p><p><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>evidenciar a importância de uma rede de apoio para as mães na criação de seus filhos.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>denunciar a disparidade entre o trabalho das mães de diferentes classes sociais.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>ressaltar o fechamento de escolas e creches durante o período pandêmico.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>&nbsp;ratificar a romantização da dedicação das mães na educação das crianças.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>enfatizar a proteção aos filhos em razão do isolamento social das famílias.</p><div><br></div></div>",A,"
""Crianza"", no espanhol, significa ""criação"", e não ""criança"", como se poderia imaginar por conta da semelhança aparente com o português. ""Tribu"" e ""Crianza"" estão presentes nessa campanha para que a sociedade perceba o quanto as mães precisam exercer sua maternidade acompanhadas por suas redes de apoio."
9,ENEM2022ESP05: (ENEM 2022)Los niños de nuestro,10,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p>Los niños de nuestro olvido</p><p>Escribo sobre un destino&nbsp;</p><p>que apenas puedo tocar</p><p>&nbsp;en tanto un niño se inventa</p><p>&nbsp;con pegamento un hogar</p><p>Mientras busco las palabras</p><p>&nbsp;para hacer esta canción</p><p>&nbsp;un niño esquiva las balas&nbsp;</p><p>que buscan su corazón</p><p>Acurrucado en mi calle</p><p>&nbsp;duerme un niño y la piedad&nbsp;</p><p>arma lejos un pesebre</p><p>&nbsp;y juega a la navidad</p><p>Arma lejos un pesebre&nbsp;</p><p>&nbsp;y juega a la navidad</p><p>&nbsp;y juega a la navidad</p><p>y juega, y juega, y juega...</p><p>La niñez de nuestro olvido</p><p>&nbsp;pide limosna en un bar</p><p>&nbsp;y lava tu parabrisas</p><p>&nbsp;por un peso, por un pan</p><p>Si las flores del futuro&nbsp;</p><p>crecen con tanto dolor&nbsp;</p><p>seguramente mañana&nbsp;</p><p>será un mañana sin sol</p><p><br></p><p style=""text-align:right""><span>SOSA, M. In: Corazón libre. Argentina: E.D.G.E., 2004 (fragmento).</span></p><p>No texto, a expressão ""un mañana sin sol"" é usada para concluir uma crítica ao(à)</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>descaso diante da problemática de crianças em situação de rua.&nbsp;<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>violência característica do cotidiano das grandes metrópoles.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>estímulo à mendicância nos centros urbanos.&nbsp;</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>&nbsp;tendência de informalização do trabalho.</p><div><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>falta de serviços de saúde adequados.</p><div><br></div></div>",A,"
A expressão ""un mañana sin sol, usada na canção Los niños de nuestro olvido, interpretada por Mercedes Sosa, foi utilizada no intuito de simbolizar a falta de esperança no futuro sem perspectivas das crianças que são vistas nas ruas da cidade."
